# Cloud and datacenter IP ranges used for local bot-detection signals.
# Generated 2026-07-18 from https://github.com/rezmoss/cloud-provider-ip-addresses (CC0-1.0).
# Format: hexadecimal start address, a tab, then hexadecimal end address.
26b4b800	26b4b8ff
26b4da00	26b4dbff
26b4e400	26b4e5ff
26b4ed00	26b4eeff
26b4f500	26b4f6ff
26f48000	26f481ff
26f4a200	26f4a3ff
26f4bc00	26f4bcff
26f4d700	26f4d7ff
26f6ba00	26f6bbff
26fd7c00	26fd7dff
27600000	276cffff
281b0d00	281b0dff
281b1500	281b15ff
281b1d00	281b1dff
281be800	281befff
28200000	2820ffff
28230000	2823ffff
28260000	2827ffff
28400000	284087ff
28409000	2840c37f
28410000	2841ffff
28422000	28423fff
28427800	28427fff
28430000	28431fff
28432800	28436fff
28437800	2845dfff
28460000	2846580f
28468000	2847ffff
284a0000	284b27ff
284b4000	284d89df
284d8a00	284d8bff
284da000	284da68f
284da6a0	284dafdf
284daff0	284dcaff
284de000	284dec3f
284dec50	284deccf
284dece0	284dedff
284df000	284df47f
284df500	284dfe5f
284dfe80	284ed023
284ed030	284ed05f
284ed100	284f082f
284f0840	284f086f
284f0900	284f09ff
284f1000	284f302f
284f3100	284f31ff
284f3800	284f582f
284f5900	284f5b0f
284f5c00	284f5d0f
284f5e00	284f5f0f
284f6000	284fdfff
284fe800	28506fff
28509000	2850a10f
2850a800	28515fff
285160d4	285160d4
28517000	28519fff
2851b000	285207ff
28521000	285227ff
28522c00	285233ff
28523c00	28523fff
28525000	285253ff
28525c00	285263ff
28528000	2857a83f
2857a844	2857a871
2857a878	2857a8cb
2857a8d0	2857a8e7
2857a8f4	2857a95b
2857a962	2857a9d7
2857a9dc	2857b00d
2857b014	2857b04d
2857b054	2857b05f
2857b072	2857b079
2857b086	2857b08b
2857b096	2857b1ab
2857b1b4	2857b22f
2857b234	2857b247
2857b24e	2857b251
2857b25a	2857b277
2857b28a	2857b2e9
2857b2f2	2857b301
2857b30a	2857b3a1
2857b3b2	2857b3f9
2857b400	2857b671
2857b674	2857b67b
2857b688	2857b6f1
2857b6fe	2857b74f
2857b75c	2857b76b
2857b778	2857efff
28580000	2859ffff
285a0800	285a1fff
285a4000	285a44ff
285a4600	285a47ff
285a8000	285b07ff
285b0c00	285b0c8f
285b0ca0	285b0cbf
285b0cd0	285b0cdf
285b0cf0	285b0d0f
285b0d40	285b0d6f
285b0d80	285b0d9f
285b0df0	285b0eff
285b1000	285b23ff
285b4000	285b7fff
285ba000	285fffff
28602e00	28602eff
28603200	286032ff
28603400	286034ff
28603700	286037ff
28603d00	28603dff
28603f00	28603fff
2860ff00	2860ffff
28610400	286107ff
28610c00	28610fff
28611400	286117ff
28612000	286123ff
28612c00	28612fff
28613400	2861367f
28613740	286137ff
28613c00	28613c3f
28613d00	28613e7f
28613f40	28613fff
28614800	2861483f
28614900	286149bf
28620000	2862043f
28621000	286210ff
28621200	286217ff
28640400	286407ff
28641800	28641b7f
28641bc0	28641bff
28642400	2864253f
28642600	2864277f
28642c80	28642cbf
28642d40	28642d7f
28643a40	28643b3f
28643c00	28643c3f
28643d00	2864473f
28644800	286449bf
28645000	286450ff
28650000	286503ff
28651400	286515bf
28651600	286517ff
286518c0	28651bff
28653800	28653b3f
28657000	286573bf
28657400	286574bf
28661000	2866123f
28661800	286618bf
286b0000	286bffff
28700000	28701fff
28702400	287025ff
287026c0	287026ff
28703000	2877644f
28776454	2877645f
28776464	28776479
2877647c	28776483
28776486	2877648d
28776490	287764bf
28776800	28788023
28788028	28788033
28788038	2878803f
28788044	28788047
2878804c	287880ad
28788400	2878871f
28788800	28788ddf
28789000	2878925f
28789400	2878946f
28789472	287894ad
287894b0	28789745
28789748	2878976f
28789772	287897f1
287897f4	28789f4f
28789f54	2878a763
2878a76a	2878aa2d
2878ac00	2878af1d
2878b000	2878b157
2878b15e	2878b327
2878b400	2878b42b
2878b434	2878b7d7
2878b800	2878b841
2878b844	2878b84f
2878b852	2878b857
2878b85a	2878ba87
2878bc00	2878bfff
28790000	287b88ff
287b8a00	287b8acb
287b8c00	287b9087
287b908a	287b91c9
287b91ce	287b91e1
287b91e6	287b91f1
287b91f6	287b9209
287b920e	287b9219
287b921e	287b9237
287b923e	287b927b
287b9280	287b92a1
287b92a6	287b9309
287b930e	287b95a3
287b9800	287ba4a5
287ba4ae	287ba4b3
287ba4be	287ba4c1
287ba4d0	287ba4d3
287ba4d8	287ba4e3
287ba4e8	287ba4e9
287ba4f6	287ba507
287ba50c	287ba52d
287ba536	287ba54d
287ba552	287ba56b
287ba570	287ba579
287ba57c	287ba589
287ba58c	287ba59f
287ba5a2	287ba5a3
287ba5a6	287ba5a9
287ba5ac	287ba5ad
287ba5b8	287ba5b9
287ba5bc	287ba5bd
287ba5c2	287ba5c3
287ba5ca	287ba5cb
287ba5ce	287ba5cf
287ba5e2	287ba5e3
287ba5e8	287ba5e9
287ba5f0	287ba5f3
287ba5fa	287ba5fb
287ba5fe	287ba5ff
287ba608	287ba609
287ba610	287ba611
287ba618	287ba619
287ba61e	287ba625
287ba628	287ba62b
287ba63a	287ba63b
287ba646	287ba647
287ba64e	287ba651
287ba654	287ba655
287ba668	287ba781
287ba786	287ba789
287ba78e	287ba7e1
287ba7ea	287ba8c3
287ba8ca	287ba8cb
287ba8d2	287ba8db
287ba8e2	287ba925
287ba92c	287ba92d
287ba934	287ba935
287ba93c	287ba973
287ba978	287ba997
287ba9a0	287ba9a7
287ba9b4	287baa5d
287baa6e	287baa81
287baa88	287bab57
287bab5c	287bab6f
287bab74	287bab8f
287bab96	287babcf
287babd4	287babe3
287babe8	287babef
287babf4	287bb823
287bb826	287bb827
287bb82a	287bb839
287bb83c	287bb83d
287bb840	287bb869
287bb86c	287bb875
287bb878	287bb879
287bb87e	287bb897
287bb89a	287bb8c1
287bb8c6	287bb8cf
287bb8d8	287bb927
287bb930	287bb931
287bb934	287bb987
287bb98a	287bb98b
287bb990	287bb9a9
287bb9ac	287bba4d
287bba50	287bba5d
287bba60	287bba63
287bba66	287bba6b
287bba6e	287bba79
287bba7c	287bba7f
287bba84	287bba89
287bba8c	287bba8d
287bba90	287bba93
287bba96	287bba97
287bba9a	287bbaa5
287bbaa8	287bbaad
287bbab2	287bbab5
287bbaba	287bbac1
287bbac4	287bbac9
287bbace	287bbad1
287bbad4	287bbadd
287bbae0	287bbae7
287bbaea	287bbaf1
287bbaf4	287bbaf5
287bbafc	287bbafd
287bbb00	287bbb01
287bbb08	287bbb0b
287bbb0e	287bbb11
287bbb16	287bbb2f
287bbb34	287bbb3b
287bbb3e	287bbb41
287bbb46	287bbb49
287bbb4e	287bbb55
287bbb58	287bbb5f
287bbb64	287bbb67
287bbb6a	287bbb6b
287bbb6e	287bbb6f
287bbb72	287bbb73
287bbb76	287bbb7f
287bbb86	287bbb87
287bbb8a	287bbb97
287bbb9a	287bbbcb
287bbbd4	287d7fff
287e0000	287e3fff
287e8000	287f20ff
287f4000	287f6fff
287f8000	287fffff
288ad800	288adbff
288f4000	288f47ff
28a00000	28a09fff
28a0e000	28a0e4ff
28a0e600	28a0f2ff
28a0f400	28a0f4ff
28a0f600	28a0f6ff
28a0f800	28a0f8ff
28a0fa00	28a0faff
28a0fc00	28a0fcff
28a0fe00	28a0feff
28a40000	28a7ffff
28a8e000	28a8e7ff
28a8ff00	28a8ffff
28ac0000	28b5ffff
28ba0000	28bcffff
28c00000	28c3ffff
28c90000	28c9ffff
28e90000	28e91fff
28e94000	28e97fff
28eb4000	28eb7fff
28ebc000	28ebffff
28ee0000	28efffff
29d2bd16	29d2bd16
29d8463a	29d8463a
29e206ca	29e206ca
2a608000	2a60ffff
2a780000	2a79ffff
2a9c8000	2a9cffff
2abb8000	2abbffff
2ac00000	2ac1ffff
2ac28000	2ac2ffff
2ac98000	2ac9ffff
2b5a0000	2b5c7fff
2b600300	2b600bff
2b601400	2b6015ff
2b601700	2b6019ff
2b602000	2b6023ff
2b602800	2b6028ff
2b603000	2b6037ff
